path,dataset_type,defect_type,label,round,split
/app/data/dataset_type/NEU/defect_type/Rolled/anomaly/RS_124.bmp,NEU,Rolled,anomaly,3,train_gate_mix
/app/data/dataset_type/Kolektor/defect_type/surface_defect/normal/12242_png.rf.7cf635f9276cf5c41b61d276c963663a.jpg,Kolektor,surface_defect,normal,3,train_gate_mix
/app/data/dataset_type/Kolektor/defect_type/surface_defect/normal/10256_png.rf.9009ef6d3f52fde7276d3a5b0be6ad72.jpg,Kolektor,surface_defect,normal,3,train_gate_mix
/app/data/dataset_type/NEU/defect_type/Crazing/anomaly/Cr_156.bmp,NEU,Crazing,anomaly,3,train_gate_mix
/app/data/dataset_type/NEU/defect_type/Patches/anomaly/Pa_191.bmp,NEU,Patches,anomaly,3,train_gate_mix
/app/data/dataset_type/NEU/defect_type/Crazing/anomaly/Cr_287.bmp,NEU,Crazing,anomaly,3,train_gate_mix
/app/data/dataset_type/NEU/defect_type/Scratches/anomaly/Sc_237.bmp,NEU,Scratches,anomaly,3,train_gate_mix
/app/data/dataset_type/MVTec/defect_type/tile/normal/030.png,MVTec,tile,normal,3,train_gate_mix
/app/data/dataset_type/Kolektor/defect_type/surface_defect/anomaly/12179_png.rf.94f319b5f8dfc38f19d96567211c0280.jpg,Kolektor,surface_defect,anomaly,3,train_gate_mix
/app/data/dataset_type/Kolektor/defect_type/surface_defect/normal/11995_png.rf.2e4eaa277ccb3c6e6eba148e47e6a1a7.jpg,Kolektor,surface_defect,normal,3,train_gate_mix
/app/data/dataset_type/Kolektor/defect_type/surface_defect/normal/10464_png.rf.ce17540f001a57f0e9a21e5ac2e980ba.jpg,Kolektor,surface_defect,normal,3,train_gate_mix
/app/data/dataset_type/MVTec/defect_type/grid/normal/247.png,MVTec,grid,normal,3,train_gate_mix
/app/data/dataset_type/NEU/defect_type/Inclusion/anomaly/In_87.bmp,NEU,Inclusion,anomaly,3,train_gate_mix
/app/data/dataset_type/Kolektor/defect_type/surface_defect/normal/11698_png.rf.c71b89488f5fe9d85c07f43275674c00.jpg,Kolektor,surface_defect,normal,3,train_gate_mix
/app/data/dataset_type/Kolektor/defect_type/surface_defect/normal/11606_png.rf.e97e530105ead8d2c5b4c138eff457c3.jpg,Kolektor,surface_defect,normal,3,train_gate_mix
/app/data/dataset_type/Kolektor/defect_type/surface_defect/anomaly/11590_png.rf.563d21c3e4b6cb4232c0e6e03a1f23b7.jpg,Kolektor,surface_defect,anomaly,3,train_gate_mix
/app/data/dataset_type/NEU/defect_type/Inclusion/anomaly/In_286.bmp,NEU,Inclusion,anomaly,3,train_gate_mix
/app/data/dataset_type/Kolektor/defect_type/surface_defect/normal/11732_png.rf.1f310b6633367b647f87cb0b8cedf4de.jpg,Kolektor,surface_defect,normal,3,train_gate_mix
/app/data/dataset_type/NEU/defect_type/Inclusion/anomaly/In_48.bmp,NEU,Inclusion,anomaly,3,train_gate_mix
/app/data/dataset_type/MVTec/defect_type/metal_nut/anomaly/scratch/011.png,MVTec,metal_nut,anomaly,3,train_gate_mix
/app/data/dataset_type/Kolektor/defect_type/surface_defect/normal/11502_png.rf.5cf2a1363549300e0ef90a14aefeaec1.jpg,Kolektor,surface_defect,normal,3,train_gate_mix
/app/data/dataset_type/Kolektor/defect_type/surface_defect/normal/11377_png.rf.539a2cc6513c4b0147fbe445fcc4f679.jpg,Kolektor,surface_defect,normal,3,train_gate_mix
/app/data/dataset_type/MVTec/defect_type/grid/anomaly/glue/000.png,MVTec,grid,anomaly,3,train_gate_mix
/app/data/dataset_type/NEU/defect_type/Rolled/anomaly/RS_68.bmp,NEU,Rolled,anomaly,3,train_gate_mix
/app/data/dataset_type/Kolektor/defect_type/surface_defect/normal/20764_png.rf.5777198ad9bf931c5437aab92b50bf32.jpg,Kolektor,surface_defect,normal,3,train_gate_mix
/app/data/dataset_type/Kolektor/defect_type/surface_defect/normal/11268_png.rf.e0c09c0cdf8e7a70d45c092d3afbd0e5.jpg,Kolektor,surface_defect,normal,3,train_gate_mix
/app/data/dataset_type/NEU/defect_type/Patches/anomaly/Pa_274.bmp,NEU,Patches,anomaly,3,train_gate_mix
