"﻿""path""",dataset_type,defect_type,label,round,split
/app/data/dataset_type/Kolektor/defect_type/surface_defect/anomaly/20624_png.rf.bf2a09de5f1865b59436126d5370ebe5.jpg,Kolektor,surface_defect,anomaly,3,train_gate_mix
/app/data/dataset_type/NEU/defect_type/Inclusion/anomaly/In_69.bmp,NEU,Inclusion,anomaly,3,train_gate_mix
/app/data/dataset_type/Kolektor/defect_type/surface_defect/normal/10451_png.rf.ff9c59868456d66ec16b0a95f39eb306.jpg,Kolektor,surface_defect,normal,3,train_gate_mix
/app/data/dataset_type/NEU/defect_type/Patches/anomaly/Pa_83.bmp,NEU,Patches,anomaly,3,train_gate_mix
/app/data/dataset_type/NEU/defect_type/Crazing/anomaly/Cr_136.bmp,NEU,Crazing,anomaly,3,train_gate_mix
/app/data/dataset_type/NEU/defect_type/Inclusion/anomaly/In_53.bmp,NEU,Inclusion,anomaly,3,train_gate_mix
/app/data/dataset_type/Kolektor/defect_type/surface_defect/normal/11268_png.rf.e0c09c0cdf8e7a70d45c092d3afbd0e5.jpg,Kolektor,surface_defect,normal,3,train_gate_mix
/app/data/dataset_type/Kolektor/defect_type/surface_defect/anomaly/11584_png.rf.14a84f3ad45c3a851f3a90868614ef17.jpg,Kolektor,surface_defect,anomaly,3,train_gate_mix
/app/data/dataset_type/Kolektor/defect_type/surface_defect/normal/11377_png.rf.539a2cc6513c4b0147fbe445fcc4f679.jpg,Kolektor,surface_defect,normal,3,train_gate_mix
/app/data/dataset_type/MVTec/defect_type/tile/normal/143.png,MVTec,tile,normal,3,train_gate_mix
/app/data/dataset_type/NEU/defect_type/Inclusion/anomaly/In_238.bmp,NEU,Inclusion,anomaly,3,train_gate_mix
/app/data/dataset_type/NEU/defect_type/Pitted/anomaly/PS_229.bmp,NEU,Pitted,anomaly,3,train_gate_mix
/app/data/dataset_type/Kolektor/defect_type/surface_defect/normal/11698_png.rf.c71b89488f5fe9d85c07f43275674c00.jpg,Kolektor,surface_defect,normal,3,train_gate_mix
/app/data/dataset_type/Kolektor/defect_type/surface_defect/normal/20086_png.rf.ba423d59438bce408662213796d97930.jpg,Kolektor,surface_defect,normal,3,train_gate_mix
/app/data/dataset_type/Kolektor/defect_type/surface_defect/normal/12242_png.rf.7cf635f9276cf5c41b61d276c963663a.jpg,Kolektor,surface_defect,normal,3,train_gate_mix
/app/data/dataset_type/NEU/defect_type/Pitted/anomaly/PS_116.bmp,NEU,Pitted,anomaly,3,train_gate_mix
/app/data/dataset_type/NEU/defect_type/Crazing/anomaly/Cr_277.bmp,NEU,Crazing,anomaly,3,train_gate_mix
/app/data/dataset_type/Kolektor/defect_type/surface_defect/normal/11732_png.rf.1f310b6633367b647f87cb0b8cedf4de.jpg,Kolektor,surface_defect,normal,3,train_gate_mix
/app/data/dataset_type/NEU/defect_type/Patches/anomaly/Pa_128.bmp,NEU,Patches,anomaly,3,train_gate_mix
/app/data/dataset_type/MVTec/defect_type/grid/normal/247.png,MVTec,grid,normal,3,train_gate_mix
/app/data/dataset_type/Kolektor/defect_type/surface_defect/normal/20163_png.rf.c52a79e6cceaabe383bf1bb5c85f8def.jpg,Kolektor,surface_defect,normal,3,train_gate_mix
/app/data/dataset_type/NEU/defect_type/Rolled/anomaly/RS_222.bmp,NEU,Rolled,anomaly,3,train_gate_mix
/app/data/dataset_type/MVTec/defect_type/grid/normal/017.png,MVTec,grid,normal,3,train_gate_mix
/app/data/dataset_type/NEU/defect_type/Rolled/anomaly/RS_146.bmp,NEU,Rolled,anomaly,3,train_gate_mix
/app/data/dataset_type/NEU/defect_type/Scratches/anomaly/Sc_260.bmp,NEU,Scratches,anomaly,3,train_gate_mix
/app/data/dataset_type/Kolektor/defect_type/surface_defect/anomaly/11590_png.rf.563d21c3e4b6cb4232c0e6e03a1f23b7.jpg,Kolektor,surface_defect,anomaly,3,train_gate_mix
/app/data/dataset_type/Kolektor/defect_type/surface_defect/normal/20852_png.rf.6be0f937e439f227fb9d145c7ffaaf16.jpg,Kolektor,surface_defect,normal,3,train_gate_mix
/app/data/dataset_type/NEU/defect_type/Crazing/anomaly/Cr_4.bmp,NEU,Crazing,anomaly,3,train_gate_mix
/app/data/dataset_type/Kolektor/defect_type/surface_defect/normal/10267_png.rf.78ad23d966d125667efc1e8ed836ae20.jpg,Kolektor,surface_defect,normal,3,train_gate_mix
/app/data/dataset_type/Kolektor/defect_type/surface_defect/anomaly/12274_png.rf.6914952407919ed61f6db6d52b64c183.jpg,Kolektor,surface_defect,anomaly,3,train_gate_mix
/app/data/dataset_type/MVTec/defect_type/tile/anomaly/glue_strip/006.png,MVTec,tile,anomaly,3,train_gate_mix
/app/data/dataset_type/Kolektor/defect_type/surface_defect/normal/20786_png.rf.a39da4f9a500cbe2008de5df783908a7.jpg,Kolektor,surface_defect,normal,3,train_gate_mix
/app/data/dataset_type/NEU/defect_type/Inclusion/anomaly/In_109.bmp,NEU,Inclusion,anomaly,3,train_gate_mix
/app/data/dataset_type/NEU/defect_type/Rolled/anomaly/RS_9.bmp,NEU,Rolled,anomaly,3,train_gate_mix
/app/data/dataset_type/Kolektor/defect_type/surface_defect/normal/12327_png.rf.00cba2f6466f646db85de859fa2b4d07.jpg,Kolektor,surface_defect,normal,3,train_gate_mix
/app/data/dataset_type/NEU/defect_type/Crazing/anomaly/Cr_162.bmp,NEU,Crazing,anomaly,3,train_gate_mix
/app/data/dataset_type/Kolektor/defect_type/surface_defect/normal/20750_png.rf.ef1e57ff3f20f47be79546961a86f63e.jpg,Kolektor,surface_defect,normal,3,train_gate_mix
/app/data/dataset_type/NEU/defect_type/Crazing/anomaly/Cr_82.bmp,NEU,Crazing,anomaly,3,train_gate_mix
/app/data/dataset_type/Kolektor/defect_type/surface_defect/normal/10259_png.rf.05066ac0e05cb19e57444d9c34ff46bf.jpg,Kolektor,surface_defect,normal,3,train_gate_mix
/app/data/dataset_type/Kolektor/defect_type/surface_defect/normal/11902_png.rf.e6342ede85758ccfeb129cb394857ce2.jpg,Kolektor,surface_defect,normal,3,train_gate_mix
/app/data/dataset_type/NEU/defect_type/Pitted/anomaly/PS_70.bmp,NEU,Pitted,anomaly,3,train_gate_mix
/app/data/dataset_type/Kolektor/defect_type/surface_defect/normal/10256_png.rf.9009ef6d3f52fde7276d3a5b0be6ad72.jpg,Kolektor,surface_defect,normal,3,train_gate_mix
/app/data/dataset_type/NEU/defect_type/Rolled/anomaly/RS_102.bmp,NEU,Rolled,anomaly,3,train_gate_mix
/app/data/dataset_type/Kolektor/defect_type/surface_defect/normal/20900_png.rf.2d4abe70642ba9c632444415dff29f6f.jpg,Kolektor,surface_defect,normal,3,train_gate_mix
/app/data/dataset_type/NEU/defect_type/Pitted/anomaly/PS_39.bmp,NEU,Pitted,anomaly,3,train_gate_mix
/app/data/dataset_type/Kolektor/defect_type/surface_defect/normal/11709_png.rf.6da9ea1d71b6d7dea652c1f030c856e0.jpg,Kolektor,surface_defect,normal,3,train_gate_mix
/app/data/dataset_type/Kolektor/defect_type/surface_defect/normal/20748_png.rf.668bc9e4bc44aadff41bf2f4dd3e079e.jpg,Kolektor,surface_defect,normal,3,train_gate_mix
/app/data/dataset_type/Kolektor/defect_type/surface_defect/normal/10464_png.rf.ce17540f001a57f0e9a21e5ac2e980ba.jpg,Kolektor,surface_defect,normal,3,train_gate_mix
/app/data/dataset_type/Kolektor/defect_type/surface_defect/normal/10940_png.rf.d38a7c8eb23453f554e31e3da48896b0.jpg,Kolektor,surface_defect,normal,3,train_gate_mix
